subject,item,resp,correct,rt,age,gender,income,edu
2,11,6,0,13952,52,Male,100000+,BachelorDegree
2,12,1,0,13186,52,Male,100000+,BachelorDegree
2,13,3,0,10315,52,Male,100000+,BachelorDegree
2,14,6,0,13040,52,Male,100000+,BachelorDegree
2,15,2,1,7441,52,Male,100000+,BachelorDegree
2,16,4,1,8678,52,Male,100000+,BachelorDegree
2,17,3,0,20102,52,Male,100000+,BachelorDegree
2,18,8,0,20162,52,Male,100000+,BachelorDegree
2,19,5,0,7721,52,Male,100000+,BachelorDegree
2,20,7,0,10285,52,Male,100000+,BachelorDegree
2,21,8,1,6627,52,Male,100000+,BachelorDegree
2,22,8,0,47707,52,Male,100000+,BachelorDegree
2,23,5,0,11353,52,Male,100000+,BachelorDegree
2,24,7,0,9741,52,Male,100000+,BachelorDegree
2,25,8,0,11696,52,Male,100000+,BachelorDegree
2,26,8,0,26059,52,Male,100000+,BachelorDegree
2,27,6,0,263210,52,Male,100000+,BachelorDegree
2,28,7,0,4337,52,Male,100000+,BachelorDegree
2,29,7,0,11913,52,Male,100000+,BachelorDegree
2,30,8,0,7420,52,Male,100000+,BachelorDegree
2,31,6,0,7136,52,Male,100000+,BachelorDegree
2,32,6,0,8360,52,Male,100000+,BachelorDegree
2,33,8,0,14157,52,Male,100000+,BachelorDegree
2,34,5,0,12761,52,Male,100000+,BachelorDegree
2,35,6,0,9171,52,Male,100000+,BachelorDegree
2,36,8,0,15409,52,Male,100000+,BachelorDegree
3,1,8,0,38732,23,Female,35000-49999,BachelorDegree
3,2,7,0,177582,23,Female,35000-49999,BachelorDegree
3,3,4,0,20604,23,Female,35000-49999,BachelorDegree
3,4,6,0,30341,23,Female,35000-49999,BachelorDegree
3,5,6,0,28239,23,Female,35000-49999,BachelorDegree
3,6,1,1,8807,23,Female,35000-49999,BachelorDegree
3,7,5,0,90237,23,Female,35000-49999,BachelorDegree
3,8,3,0,27401,23,Female,35000-49999,BachelorDegree
3,9,4,0,53828,23,Female,35000-49999,BachelorDegree
3,10,8,0,21034,23,Female,35000-49999,BachelorDegree
3,11,2,0,44768,23,Female,35000-49999,BachelorDegree
3,12,5,0,9839,23,Female,35000-49999,BachelorDegree
3,13,7,0,2980,23,Female,35000-49999,BachelorDegree
3,14,5,0,3845,23,Female,35000-49999,BachelorDegree
3,15,8,0,2228,23,Female,35000-49999,BachelorDegree
3,16,4,1,2386,23,Female,35000-49999,BachelorDegree
3,17,5,0,32462,23,Female,35000-49999,BachelorDegree
3,18,7,1,195567,23,Female,35000-49999,BachelorDegree
3,19,5,0,12064,23,Female,35000-49999,BachelorDegree
3,20,8,1,4673,23,Female,35000-49999,BachelorDegree
3,21,4,0,8623,23,Female,35000-49999,BachelorDegree
3,22,5,0,123422,23,Female,35000-49999,BachelorDegree
3,23,4,0,4948,23,Female,35000-49999,BachelorDegree
3,24,7,0,3066,23,Female,35000-49999,BachelorDegree
3,25,8,0,4743,23,Female,35000-49999,BachelorDegree
3,26,4,0,6772,23,Female,35000-49999,BachelorDegree
3,27,4,0,12555,23,Female,35000-49999,BachelorDegree
3,28,7,0,19912,23,Female,35000-49999,BachelorDegree
3,29,6,1,86428,23,Female,35000-49999,BachelorDegree
3,30,3,0,26116,23,Female,35000-49999,BachelorDegree
3,31,7,0,48841,23,Female,35000-49999,BachelorDegree
3,32,7,0,156399,23,Female,35000-49999,BachelorDegree
3,33,5,1,2493,23,Female,35000-49999,BachelorDegree
3,34,8,0,1347,23,Female,35000-49999,BachelorDegree
3,35,5,0,1165,23,Female,35000-49999,BachelorDegree
3,36,1,0,6116,23,Female,35000-49999,BachelorDegree
4,1,1,0,38581,51,Male,50000-74999,BachelorDegree
4,2,1,1,21152,51,Male,50000-74999,BachelorDegree
4,3,8,0,85302,51,Male,50000-74999,BachelorDegree
4,4,4,1,86290,51,Male,50000-74999,BachelorDegree
4,5,3,1,19587,51,Male,50000-74999,BachelorDegree
4,6,1,1,20850,51,Male,50000-74999,BachelorDegree
4,7,6,1,34670,51,Male,50000-74999,BachelorDegree
4,8,1,1,42414,51,Male,50000-74999,BachelorDegree
4,9,8,1,42296,51,Male,50000-74999,BachelorDegree
4,10,8,0,39342,51,Male,50000-74999,BachelorDegree
4,11,5,1,34732,51,Male,50000-74999,BachelorDegree
4,12,6,1,58453,51,Male,50000-74999,BachelorDegree
4,13,6,0,25210,51,Male,50000-74999,BachelorDegree
4,14,2,0,130511,51,Male,50000-74999,BachelorDegree
4,15,2,1,62662,51,Male,50000-74999,BachelorDegree
4,16,1,0,21337,51,Male,50000-74999,BachelorDegree
4,17,6,1,34979,51,Male,50000-74999,BachelorDegree
4,18,2,0,49320,51,Male,50000-74999,BachelorDegree
4,19,3,1,35069,51,Male,50000-74999,BachelorDegree
4,20,8,1,58117,51,Male,50000-74999,BachelorDegree
4,21,8,1,30705,51,Male,50000-74999,BachelorDegree
4,22,4,0,89543,51,Male,50000-74999,BachelorDegree
4,23,6,1,39252,51,Male,50000-74999,BachelorDegree
4,24,1,0,60141,51,Male,50000-74999,BachelorDegree
4,25,2,0,34446,51,Male,50000-74999,BachelorDegree
4,26,8,0,124869,51,Male,50000-74999,BachelorDegree
4,27,4,0,106588,51,Male,50000-74999,BachelorDegree
4,28,3,0,46547,51,Male,50000-74999,BachelorDegree
4,29,3,0,66312,51,Male,50000-74999,BachelorDegree
4,30,1,0,88209,51,Male,50000-74999,BachelorDegree
4,31,5,0,47267,51,Male,50000-74999,BachelorDegree
4,32,3,0,134996,51,Male,50000-74999,BachelorDegree
4,33,7,0,104141,51,Male,50000-74999,BachelorDegree
4,34,3,0,40047,51,Male,50000-74999,BachelorDegree
4,35,1,0,24263,51,Male,50000-74999,BachelorDegree
4,36,8,0,99742,51,Male,50000-74999,BachelorDegree
5,1,4,0,12807,38,Female,100000+,BachelorDegree
5,2,6,0,13951,38,Female,100000+,BachelorDegree
5,3,8,0,19165,38,Female,100000+,BachelorDegree
5,4,4,1,24414,38,Female,100000+,BachelorDegree
5,5,3,1,10782,38,Female,100000+,BachelorDegree
5,6,1,1,8991,38,Female,100000+,BachelorDegree
5,7,2,0,36173,38,Female,100000+,BachelorDegree
5,8,4,0,15488,38,Female,100000+,BachelorDegree
5,9,8,1,9090,38,Female,100000+,BachelorDegree
5,10,8,0,10081,38,Female,100000+,BachelorDegree
5,11,5,1,13064,38,Female,100000+,BachelorDegree
5,12,6,1,18212,38,Female,100000+,BachelorDegree
5,13,3,0,9558,38,Female,100000+,BachelorDegree
5,14,6,0,30513,38,Female,100000+,BachelorDegree
5,15,2,1,47053,38,Female,100000+,BachelorDegree
5,16,5,0,10482,38,Female,100000+,BachelorDegree
5,17,7,0,23365,38,Female,100000+,BachelorDegree
5,18,5,0,7625,38,Female,100000+,BachelorDegree
5,19,7,0,20761,38,Female,100000+,BachelorDegree
5,20,8,1,42888,38,Female,100000+,BachelorDegree
5,21,5,0,8579,38,Female,100000+,BachelorDegree
5,22,7,1,12528,38,Female,100000+,BachelorDegree
5,23,7,0,28046,38,Female,100000+,BachelorDegree
5,24,6,0,33507,38,Female,100000+,BachelorDegree
5,25,5,0,24877,38,Female,100000+,BachelorDegree
5,26,5,0,15537,38,Female,100000+,BachelorDegree
5,27,7,1,4840,38,Female,100000+,BachelorDegree
5,28,6,0,37427,38,Female,100000+,BachelorDegree
5,29,3,0,5676,38,Female,100000+,BachelorDegree
5,30,7,0,6054,38,Female,100000+,BachelorDegree
5,31,4,1,7508,38,Female,100000+,BachelorDegree
5,32,5,0,3678,38,Female,100000+,BachelorDegree
5,33,7,0,2212,38,Female,100000+,BachelorDegree
5,34,5,0,1480,38,Female,100000+,BachelorDegree
5,35,1,0,1764,38,Female,100000+,BachelorDegree
5,36,8,0,3571,38,Female,100000+,BachelorDegree
6,1,5,1,28450,50,Male,75000-99999,BachelorDegree
6,2,7,0,16679,50,Male,75000-99999,BachelorDegree
6,3,7,1,29059,50,Male,75000-99999,BachelorDegree
6,4,4,1,21976,50,Male,75000-99999,BachelorDegree
6,5,3,1,69602,50,Male,75000-99999,BachelorDegree
6,6,1,1,20356,50,Male,75000-99999,BachelorDegree
6,7,6,1,31665,50,Male,75000-99999,BachelorDegree
6,8,1,1,63141,50,Male,75000-99999,BachelorDegree
6,9,8,1,15269,50,Male,75000-99999,BachelorDegree
6,10,3,0,48980,50,Male,75000-99999,BachelorDegree
6,11,5,1,27507,50,Male,75000-99999,BachelorDegree
6,12,6,1,32840,50,Male,75000-99999,BachelorDegree
6,13,2,1,46871,50,Male,75000-99999,BachelorDegree
6,14,8,0,46827,50,Male,75000-99999,BachelorDegree
6,15,6,0,63309,50,Male,75000-99999,BachelorDegree
6,16,7,0,45673,50,Male,75000-99999,BachelorDegree
6,17,6,1,51548,50,Male,75000-99999,BachelorDegree
6,18,7,1,62088,50,Male,75000-99999,BachelorDegree
6,19,5,0,24343,50,Male,75000-99999,BachelorDegree
6,20,8,1,32520,50,Male,75000-99999,BachelorDegree
6,21,4,0,47232,50,Male,75000-99999,BachelorDegree
6,22,8,0,46851,50,Male,75000-99999,BachelorDegree
6,23,1,0,38180,50,Male,75000-99999,BachelorDegree
6,24,5,0,30822,50,Male,75000-99999,BachelorDegree
6,25,6,0,43076,50,Male,75000-99999,BachelorDegree
6,26,3,0,41503,50,Male,75000-99999,BachelorDegree
6,27,6,0,38315,50,Male,75000-99999,BachelorDegree
6,28,6,0,37924,50,Male,75000-99999,BachelorDegree
6,29,7,0,46898,50,Male,75000-99999,BachelorDegree
6,30,6,0,55867,50,Male,75000-99999,BachelorDegree
6,31,5,0,35635,50,Male,75000-99999,BachelorDegree
6,32,7,0,40688,50,Male,75000-99999,BachelorDegree
6,33,8,0,51300,50,Male,75000-99999,BachelorDegree
6,34,5,0,39463,50,Male,75000-99999,BachelorDegree
6,35,4,0,67427,50,Male,75000-99999,BachelorDegree
6,36,2,1,21101,50,Male,75000-99999,BachelorDegree
7,1,7,0,16653,29,Male,75000-99999,MastersDegree
7,2,6,0,4915,29,Male,75000-99999,MastersDegree
7,3,6,0,6327,29,Male,75000-99999,MastersDegree
7,4,2,0,6141,29,Male,75000-99999,MastersDegree
7,5,1,0,10510,29,Male,75000-99999,MastersDegree
7,6,6,0,9295,29,Male,75000-99999,MastersDegree
7,7,2,0,5522,29,Male,75000-99999,MastersDegree
7,8,5,0,4463,29,Male,75000-99999,MastersDegree
7,9,8,1,8129,29,Male,75000-99999,MastersDegree
7,10,8,0,6544,29,Male,75000-99999,MastersDegree
7,11,3,0,4202,29,Male,75000-99999,MastersDegree
7,12,2,0,6049,29,Male,75000-99999,MastersDegree
7,13,2,1,6272,29,Male,75000-99999,MastersDegree
7,14,3,0,7842,29,Male,75000-99999,MastersDegree
7,15,4,0,6286,29,Male,75000-99999,MastersDegree
7,16,8,0,11018,29,Male,75000-99999,MastersDegree
7,17,1,0,3974,29,Male,75000-99999,MastersDegree
7,18,4,0,5273,29,Male,75000-99999,MastersDegree
7,19,7,0,4581,29,Male,75000-99999,MastersDegree
7,20,6,0,5260,29,Male,75000-99999,MastersDegree
7,21,6,0,6998,29,Male,75000-99999,MastersDegree
7,22,1,0,4176,29,Male,75000-99999,MastersDegree
7,23,6,1,6769,29,Male,75000-99999,MastersDegree
7,24,6,0,8346,29,Male,75000-99999,MastersDegree
7,25,4,0,6197,29,Male,75000-99999,MastersDegree
7,26,2,1,6511,29,Male,75000-99999,MastersDegree
7,27,8,0,4997,29,Male,75000-99999,MastersDegree
7,28,6,0,6452,29,Male,75000-99999,MastersDegree
7,29,3,0,6219,29,Male,75000-99999,MastersDegree
7,30,1,0,12687,29,Male,75000-99999,MastersDegree
7,31,1,0,5377,29,Male,75000-99999,MastersDegree
7,32,5,0,14303,29,Male,75000-99999,MastersDegree
7,33,8,0,6546,29,Male,75000-99999,MastersDegree
7,34,2,0,5825,29,Male,75000-99999,MastersDegree
7,35,7,0,4018,29,Male,75000-99999,MastersDegree
7,36,2,1,4293,29,Male,75000-99999,MastersDegree
8,1,5,1,45100,33,Male,50000-74999,BachelorDegree
8,2,1,1,24250,33,Male,50000-74999,BachelorDegree
8,3,6,0,23888,33,Male,50000-74999,BachelorDegree
8,4,4,1,28335,33,Male,50000-74999,BachelorDegree
8,5,3,1,24921,33,Male,50000-74999,BachelorDegree
8,6,7,0,22651,33,Male,50000-74999,BachelorDegree
8,7,6,1,35422,33,Male,50000-74999,BachelorDegree
8,8,2,0,24253,33,Male,50000-74999,BachelorDegree
8,9,8,1,17692,33,Male,50000-74999,BachelorDegree
8,10,5,0,22011,33,Male,50000-74999,BachelorDegree
8,11,5,1,22325,33,Male,50000-74999,BachelorDegree
8,12,6,1,36315,33,Male,50000-74999,BachelorDegree
8,13,2,1,36422,33,Male,50000-74999,BachelorDegree
8,14,1,1,46828,33,Male,50000-74999,BachelorDegree
8,15,2,1,28590,33,Male,50000-74999,BachelorDegree
8,16,4,1,14119,33,Male,50000-74999,BachelorDegree
8,17,6,1,21892,33,Male,50000-74999,BachelorDegree
8,18,7,1,34328,33,Male,50000-74999,BachelorDegree
8,19,8,0,24655,33,Male,50000-74999,BachelorDegree
8,20,8,1,44900,33,Male,50000-74999,BachelorDegree
8,21,3,0,34754,33,Male,50000-74999,BachelorDegree
8,22,8,0,33440,33,Male,50000-74999,BachelorDegree
8,23,5,0,31076,33,Male,50000-74999,BachelorDegree
8,24,8,0,37846,33,Male,50000-74999,BachelorDegree
8,25,7,1,27209,33,Male,50000-74999,BachelorDegree
8,26,6,0,49315,33,Male,50000-74999,BachelorDegree
8,27,4,0,13165,33,Male,50000-74999,BachelorDegree
8,28,5,1,61375,33,Male,50000-74999,BachelorDegree
8,29,3,0,19269,33,Male,50000-74999,BachelorDegree
8,30,1,0,28968,33,Male,50000-74999,BachelorDegree
8,31,4,1,84426,33,Male,50000-74999,BachelorDegree
8,32,4,0,28941,33,Male,50000-74999,BachelorDegree
8,33,3,0,66255,33,Male,50000-74999,BachelorDegree
8,34,3,0,7579,33,Male,50000-74999,BachelorDegree
8,35,4,0,13471,33,Male,50000-74999,BachelorDegree
8,36,1,0,20340,33,Male,50000-74999,BachelorDegree
9,1,5,1,23200,34,Male,35000-49999,SomeColl
9,2,1,1,19345,34,Male,35000-49999,SomeColl
9,3,7,1,19467,34,Male,35000-49999,SomeColl
9,4,4,1,18377,34,Male,35000-49999,SomeColl
9,5,3,1,7069,34,Male,35000-49999,SomeColl
9,6,7,0,22960,34,Male,35000-49999,SomeColl
9,7,6,1,26455,34,Male,35000-49999,SomeColl
9,8,1,1,43789,34,Male,35000-49999,SomeColl
9,9,8,1,7448,34,Male,35000-49999,SomeColl
9,10,4,1,10329,34,Male,35000-49999,SomeColl
9,11,5,1,17115,34,Male,35000-49999,SomeColl
9,12,6,1,22308,34,Male,35000-49999,SomeColl
9,13,8,0,30787,34,Male,35000-49999,SomeColl
9,14,1,1,15818,34,Male,35000-49999,SomeColl
9,15,2,1,40985,34,Male,35000-49999,SomeColl
9,16,4,1,11254,34,Male,35000-49999,SomeColl
9,17,6,1,13381,34,Male,35000-49999,SomeColl
9,18,1,0,21076,34,Male,35000-49999,SomeColl
9,19,3,1,41956,34,Male,35000-49999,SomeColl
9,20,7,0,31620,34,Male,35000-49999,SomeColl
9,21,4,0,26875,34,Male,35000-49999,SomeColl
9,22,3,0,62445,34,Male,35000-49999,SomeColl
9,23,6,1,68153,34,Male,35000-49999,SomeColl
9,24,3,1,59719,34,Male,35000-49999,SomeColl
9,25,7,1,59471,34,Male,35000-49999,SomeColl
9,26,2,1,37309,34,Male,35000-49999,SomeColl
9,27,4,0,12089,34,Male,35000-49999,SomeColl
9,28,1,0,29164,34,Male,35000-49999,SomeColl
9,29,7,0,19438,34,Male,35000-49999,SomeColl
9,30,8,0,25968,34,Male,35000-49999,SomeColl
9,31,8,0,81679,34,Male,35000-49999,SomeColl
9,32,4,0,29708,34,Male,35000-49999,SomeColl
9,33,2,0,58338,34,Male,35000-49999,SomeColl
9,34,1,1,26503,34,Male,35000-49999,SomeColl
9,35,1,0,28716,34,Male,35000-49999,SomeColl
9,36,8,0,26840,34,Male,35000-49999,SomeColl
10,1,1,0,48679,30,Male,50000-74999,BachelorDegree
10,2,3,0,4996,30,Male,50000-74999,BachelorDegree
10,3,2,0,3941,30,Male,50000-74999,BachelorDegree
10,4,3,0,1352,30,Male,50000-74999,BachelorDegree
10,5,2,0,1414,30,Male,50000-74999,BachelorDegree
10,6,4,0,1094,30,Male,50000-74999,BachelorDegree
10,7,3,0,1138,30,Male,50000-74999,BachelorDegree
10,8,4,0,2742,30,Male,50000-74999,BachelorDegree
10,9,5,0,2655,30,Male,50000-74999,BachelorDegree
10,10,3,0,1551,30,Male,50000-74999,BachelorDegree
10,11,6,0,3035,30,Male,50000-74999,BachelorDegree
10,12,4,0,10619,30,Male,50000-74999,BachelorDegree
10,13,5,0,4423,30,Male,50000-74999,BachelorDegree
10,14,3,0,2439,30,Male,50000-74999,BachelorDegree
10,15,4,0,3947,30,Male,50000-74999,BachelorDegree
10,16,5,0,3411,30,Male,50000-74999,BachelorDegree
10,17,6,1,2158,30,Male,50000-74999,BachelorDegree
10,18,3,0,2347,30,Male,50000-74999,BachelorDegree
10,19,7,0,1813,30,Male,50000-74999,BachelorDegree
10,20,5,0,2536,30,Male,50000-74999,BachelorDegree
10,21,6,0,3192,30,Male,50000-74999,BachelorDegree
10,22,3,0,2419,30,Male,50000-74999,BachelorDegree
10,23,5,0,2610,30,Male,50000-74999,BachelorDegree
10,24,3,1,2378,30,Male,50000-74999,BachelorDegree
10,25,4,0,3463,30,Male,50000-74999,BachelorDegree
10,26,3,0,1920,30,Male,50000-74999,BachelorDegree
10,27,4,0,2691,30,Male,50000-74999,BachelorDegree
10,28,3,0,2489,30,Male,50000-74999,BachelorDegree
10,29,2,0,2433,30,Male,50000-74999,BachelorDegree
10,30,4,0,2885,30,Male,50000-74999,BachelorDegree
10,31,4,1,1895,30,Male,50000-74999,BachelorDegree
10,32,5,0,1913,30,Male,50000-74999,BachelorDegree
10,33,7,0,1440,30,Male,50000-74999,BachelorDegree
10,34,7,0,2512,30,Male,50000-74999,BachelorDegree
10,35,4,0,1729,30,Male,50000-74999,BachelorDegree
10,36,4,0,6704,30,Male,50000-74999,BachelorDegree
11,1,5,1,15391,27,Male,100000+,BachelorDegree
11,2,1,1,27528,27,Male,100000+,BachelorDegree
11,3,7,1,14543,27,Male,100000+,BachelorDegree
11,4,4,1,43810,27,Male,100000+,BachelorDegree
11,5,3,1,13640,27,Male,100000+,BachelorDegree
11,6,7,0,29576,27,Male,100000+,BachelorDegree
11,7,2,0,26144,27,Male,100000+,BachelorDegree
11,8,1,1,26663,27,Male,100000+,BachelorDegree
11,9,8,1,16841,27,Male,100000+,BachelorDegree
11,10,4,1,25088,27,Male,100000+,BachelorDegree
11,11,5,1,60370,27,Male,100000+,BachelorDegree
11,12,6,1,9327,27,Male,100000+,BachelorDegree
11,13,2,1,28808,27,Male,100000+,BachelorDegree
11,14,1,1,39154,27,Male,100000+,BachelorDegree
11,15,2,1,29599,27,Male,100000+,BachelorDegree
11,16,4,1,49452,27,Male,100000+,BachelorDegree
11,17,6,1,15599,27,Male,100000+,BachelorDegree
11,18,1,0,31003,27,Male,100000+,BachelorDegree
11,19,3,1,27184,27,Male,100000+,BachelorDegree
11,20,3,0,24986,27,Male,100000+,BachelorDegree
11,21,4,0,56795,27,Male,100000+,BachelorDegree
11,22,7,1,43159,27,Male,100000+,BachelorDegree
11,23,6,1,59730,27,Male,100000+,BachelorDegree
11,24,8,0,180309,27,Male,100000+,BachelorDegree
11,25,2,0,28425,27,Male,100000+,BachelorDegree
11,26,2,1,47346,27,Male,100000+,BachelorDegree
11,27,4,0,55801,27,Male,100000+,BachelorDegree
11,28,4,0,232140,27,Male,100000+,BachelorDegree
11,29,6,1,26666,27,Male,100000+,BachelorDegree
11,30,4,0,120346,27,Male,100000+,BachelorDegree
11,31,2,0,60593,27,Male,100000+,BachelorDegree
11,32,8,1,70385,27,Male,100000+,BachelorDegree
11,33,3,0,42928,27,Male,100000+,BachelorDegree
11,34,1,1,93722,27,Male,100000+,BachelorDegree
11,35,1,0,35424,27,Male,100000+,BachelorDegree
11,36,5,0,28856,27,Male,100000+,BachelorDegree
12,1,5,1,46373,48,Female,50000-74999,BachelorDegree
12,2,1,1,23277,48,Female,50000-74999,BachelorDegree
12,3,1,0,3454,48,Female,50000-74999,BachelorDegree
12,4,4,1,28652,48,Female,50000-74999,BachelorDegree
12,5,3,1,57956,48,Female,50000-74999,BachelorDegree
12,6,1,1,14730,48,Female,50000-74999,BachelorDegree
12,7,6,1,27530,48,Female,50000-74999,BachelorDegree
12,8,1,1,34184,48,Female,50000-74999,BachelorDegree
12,9,8,1,25098,48,Female,50000-74999,BachelorDegree
12,10,8,0,65398,48,Female,50000-74999,BachelorDegree
12,11,5,1,29192,48,Female,50000-74999,BachelorDegree
12,12,5,0,52596,48,Female,50000-74999,BachelorDegree
12,13,5,0,34558,48,Female,50000-74999,BachelorDegree
12,14,7,0,38185,48,Female,50000-74999,BachelorDegree
12,15,8,0,55846,48,Female,50000-74999,BachelorDegree
12,16,4,1,19622,48,Female,50000-74999,BachelorDegree
12,17,4,0,24788,48,Female,50000-74999,BachelorDegree
12,18,1,0,25615,48,Female,50000-74999,BachelorDegree
12,19,3,1,49447,48,Female,50000-74999,BachelorDegree
12,20,3,0,44793,48,Female,50000-74999,BachelorDegree
12,21,1,0,35838,48,Female,50000-74999,BachelorDegree
12,22,4,0,60867,48,Female,50000-74999,BachelorDegree
12,23,6,1,15141,48,Female,50000-74999,BachelorDegree
12,24,8,0,44230,48,Female,50000-74999,BachelorDegree
12,25,8,0,37358,48,Female,50000-74999,BachelorDegree
12,26,2,1,58411,48,Female,50000-74999,BachelorDegree
12,27,6,0,39052,48,Female,50000-74999,BachelorDegree
12,28,1,0,45908,48,Female,50000-74999,BachelorDegree
12,29,7,0,45223,48,Female,50000-74999,BachelorDegree
12,30,2,0,56767,48,Female,50000-74999,BachelorDegree
12,31,4,1,84444,48,Female,50000-74999,BachelorDegree
12,32,1,0,117035,48,Female,50000-74999,BachelorDegree
12,33,5,1,680676,48,Female,50000-74999,BachelorDegree
12,34,5,0,47764,48,Female,50000-74999,BachelorDegree
12,35,1,0,143217,48,Female,50000-74999,BachelorDegree
12,36,8,0,60061,48,Female,50000-74999,BachelorDegree
13,1,5,1,19570,29,Male,5000-11999,BachelorDegree
13,2,1,1,10488,29,Male,5000-11999,BachelorDegree
13,3,7,1,14016,29,Male,5000-11999,BachelorDegree
13,4,4,1,4832,29,Male,5000-11999,BachelorDegree
13,5,3,1,7272,29,Male,5000-11999,BachelorDegree
13,6,1,1,5296,29,Male,5000-11999,BachelorDegree
13,7,6,1,16448,29,Male,5000-11999,BachelorDegree
13,8,1,1,19464,29,Male,5000-11999,BachelorDegree
13,9,8,1,8584,29,Male,5000-11999,BachelorDegree
13,10,4,1,7696,29,Male,5000-11999,BachelorDegree
13,11,5,1,6072,29,Male,5000-11999,BachelorDegree
13,12,6,1,19241,29,Male,5000-11999,BachelorDegree
13,13,2,1,17111,29,Male,5000-11999,BachelorDegree
13,14,1,1,6904,29,Male,5000-11999,BachelorDegree
13,15,2,1,22928,29,Male,5000-11999,BachelorDegree
13,16,4,1,19456,29,Male,5000-11999,BachelorDegree
13,17,6,1,5736,29,Male,5000-11999,BachelorDegree
13,18,1,0,42976,29,Male,5000-11999,BachelorDegree
13,19,3,1,118608,29,Male,5000-11999,BachelorDegree
13,20,8,1,13616,29,Male,5000-11999,BachelorDegree
13,21,8,1,63144,29,Male,5000-11999,BachelorDegree
13,22,7,1,8352,29,Male,5000-11999,BachelorDegree
13,23,6,1,15448,29,Male,5000-11999,BachelorDegree
13,24,3,1,9904,29,Male,5000-11999,BachelorDegree
13,25,7,1,91528,29,Male,5000-11999,BachelorDegree
13,26,8,0,27431,29,Male,5000-11999,BachelorDegree
13,27,7,1,10072,29,Male,5000-11999,BachelorDegree
13,28,3,0,35694,29,Male,5000-11999,BachelorDegree
13,29,2,0,48688,29,Male,5000-11999,BachelorDegree
13,30,5,1,67872,29,Male,5000-11999,BachelorDegree
13,31,4,1,96921,29,Male,5000-11999,BachelorDegree
13,32,8,1,43495,29,Male,5000-11999,BachelorDegree
13,33,5,1,70600,29,Male,5000-11999,BachelorDegree
13,34,1,1,22137,29,Male,5000-11999,BachelorDegree
13,35,7,0,17215,29,Male,5000-11999,BachelorDegree
13,36,2,1,40215,29,Male,5000-11999,BachelorDegree
14,1,5,1,34622,39,Male,35000-49999,SomeColl
14,2,1,1,18351,39,Male,35000-49999,SomeColl
14,3,7,1,12505,39,Male,35000-49999,SomeColl
14,4,4,1,24160,39,Male,35000-49999,SomeColl
14,5,3,1,20000,39,Male,35000-49999,SomeColl
14,6,1,1,9087,39,Male,35000-49999,SomeColl
14,7,2,0,18224,39,Male,35000-49999,SomeColl
14,8,1,1,32128,39,Male,35000-49999,SomeColl
